Standard Panel #,What is it for?,Platform,# of Racks,Enclosure Manufacturer,Enclosure Type,Enclosure Part Number,Size,NEMA Type,Ethernet switch,Terminals Manufacturer,Wiring from I/O Modules to Terminal Blocks,Processor,Communication Modules,I/O Modules,Surge Suppressor/Filter,UPS,Power Supply Size,Enclosure Light (s),Receptacle,Control power switch,Estop/other pilot devices,HVAC 
Standard Panel 1,"Processor/communication panel, ideally connect Flex I/O panel (s) to it",ControlLogix,1,Saginaw,Wall Mount,SCE-48EL3612LPPL,48x36x12,"4, 12",Managed Stratix 5200. 20 port,Phoenix,N/A,Not included,1756-EN2T,N/A,"ASCO 120VAC, 20 Amp",Phoenix 10 A UPS controller: 2907066 with 1274118 7AH battery,20 Amp,Yes,Yes,None,None,None
Standard Panel 2,Small ControlLogix control system,ControlLogix,1,Saginaw,Free Standing,SCE-604818FSD,60x48x18,"3R, 12",Managed Stratix 5200. 20 port,Phoenix,multiconductor cable,Not included,1756-EN2T,Not included,"ASCO 120VAC, 20 Amp",Phoenix 10 A UPS controller: 2907066 with 1274118 7AH battery,20 Amp,Yes,Yes,external,None,None
Standard Panel 3,Medium ControlLogix control system,ControlLogix,2,Saginaw,Free Standing,SCE-727218FSD,72x72x18,"3R, 12",Managed Stratix 5200. 20 port,Phoenix,multiconductor cable,Not included,1756-EN2T,Not included,"ASCO 120VAC, 20 Amp",Phoenix 10 A UPS controller: 2907066 with 1274118 7AH battery,20 Amp,Yes,Yes,external,None,None
Standard Panel 4,Small/Medium CompactLogix control system,CompactLogix,1,Saginaw,Free Standing,SCE-604818FSD,60x48x18,"3R, 12",Managed Stratix 5200. 20 port,Phoenix,multiconductor cable,Not included,N/A,Not included,"ASCO 120VAC, 20 Amp",Phoenix 10 A UPS controller: 2907066 with 1274118 7AH battery,20 Amp,Yes,Yes,external,None,None
Standard Panel 5,Small/Medium Flex 5000 Remote I/O panel,Flex 5000,1 or 2,Saginaw,Wall Mount,SCE-48EL3612LPPL,48x36x12,"4, 12","No switch, run 2 enet cables or daisy chain",Phoenix,N/A,N/A,5094-AENTR,Not included,"ASCO 120VAC, 20 Amp",None,20 Amp,Yes,Yes,external,None,None
